,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,导行电磁波,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026936621,0,0,0
2,普拉斯变换,0,0,0,0,0,0.00135799,0,0,0,0,0,0,0,0,0,0,0.000831376
3,热电偶,0,0,0,0,0.101654988,0,0,0,0,0,0.000870713,0,0,0.001077465,0,0,0
4,振荡周期,0,0,0.006550796,0,0.000475023,0,0,0.008402364,0,0,0.019155691,0,0.008331081,0,0.001291105,0,0
5,电阻率,0,0,0,0,0.012825629,0,0,0,0,0,0,0,0,0.007542254,0.001291105,0,0
6,边界问题,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001077465,0,0,0
7,SoC,0,0,0,0,0,0,0,0,0,0,0.001741426,0,0,0,0,0,0
8,二阶电路,0,0,0,0,0,0.00407397,0,0,0,0,0,0,0.001388514,0,0.104579527,0,0
9,枚举,0.072417004,0.602449052,0,0,0,0,0.073360238,0,0,0,0,0.001954692,0,0,0,0,0
10,电磁式,0,0,0,0,0.00142507,0,0,0,0,0,0,0,0,0,0,0,0
11,幅值,0,0,0.019652388,0.004601216,0.019475956,0.016295882,0,0,0.0008807,0.015259339,0,0,0.097890204,0,0.024531,0,0.026604045
12,看门狗,0,0,0,0,0,0,0,0.008402364,0,0,0,0,0,0,0,0,0
13,同名端,0,0,0,0,0,0,0,0,0,0,0,0,0.003471284,0,0.025822105,0,0.003325506
14,AMI码,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016447237,0
15,图像压缩编码,0,0,0,0,0,0,0,0,0,0.002179906,0,0,0,0,0,0,0
16,集中参数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002494129
17,换路定则,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003873316,0,0
18,恒定电流,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084042259,0.001291105,0,0
19,k域反转,0,0,0,0,0,0.00407397,0,0,0,0,0,0,0,0,0,0,0
20,力矩,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
21,温度补偿,0,0,0,0,0.009500466,0,0,0,0,0,0,0,0.007636824,0,0,0,0.002494129
22,结构体,0.192357668,0,0.006550796,0,0,0,0,0,0,0,0,0.023456298,0,0,0,0,0
23,椭圆波导,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003232395,0,0,0
24,有损预测编码,0,0,0,0,0,0,0,0,0,0.004359811,0,0,0,0,0,0,0
25,线性插值,0,0,0.019652388,0,0.000475023,0,0,0,0,0,0,0,0,0,0,0,0
26,平均技术,0,0,0,0,0.00142507,0,0,0,0,0,0,0,0,0,0,0,0
27,正电荷,0,0,0,0,0.00285014,0,0,0,0,0,0.000870713,0,0.000694257,0.024781692,0.003873316,0,0
28,光纤传感器,0,0,0,0,0.021376049,0,0,0,0,0,0,0,0,0,0,0,0
29,模拟输出,0,0,0,0,0.000475023,0,0,0.005601576,0,0,0,0,0,0,0,0,0.002494129
30,双相码,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022252145,0
31,匹配模板,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
32,集成稳压器,0,0,0,0,0,0,0,0,0,0,0,0,0.011108108,0,0,0,0
33,交流电路,0,0,0.019652388,0,0,0,0,0,0,0,0,0,0,0,0.009037737,0,0
34,码速调整,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038699382,0
35,SRAM,0,0,0,0,0,0,0,0,0,0,0.013060698,0,0,0,0,0,0
36,光谱仪,0,0,0,0,0.003325163,0,0,0,0,0.000726635,0,0,0,0,0,0,0
37,电容式加速度传感器,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
